id,g,a,p,pm,pim,hits,gwg,ppp
6777,1.0,3.0,4.0,0.0,0.0,7.0,0.0,2.0
5368,1.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0
5984,0.0,1.0,1.0,-3.0,0.0,5.0,0.0,0.0
5362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6002,2.0,7.0,9.0,8.0,0.0,4.0,0.0,1.0
5691,3.0,1.0,4.0,1.0,0.0,5.0,1.0,2.0
5425,3.0,6.0,9.0,2.0,2.0,3.0,0.0,3.0
4240,2.0,6.0,8.0,-2.0,2.0,0.0,0.0,5.0
4693,1.0,0.0,1.0,-1.0,0.0,4.0,0.0,1.0
7905,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0
6750,0.0,1.0,1.0,-3.0,0.0,1.0,0.0,0.0
7155,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0
4819,0.0,2.0,2.0,0.0,2.0,12.0,0.0,0.0
3885,0.0,2.0,2.0,-3.0,2.0,1.0,0.0,1.0
8294,1.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0
5985,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0
4990,0.0,0.0,0.0,-2.0,4.0,2.0,0.0,0.0
7570,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0
5776,1.0,6.0,7.0,5.0,2.0,5.0,0.0,3.0
7321,1.0,6.0,7.0,6.0,0.0,7.0,0.0,1.0
7618,1.0,1.0,2.0,5.0,2.0,20.0,1.0,0.0
5396,2.0,2.0,4.0,-1.0,2.0,7.0,1.0,0.0
5996,3.0,3.0,6.0,5.0,2.0,17.0,0.0,0.0
6417,3.0,3.0,6.0,4.0,4.0,27.0,0.0,0.0
6814,2.0,4.0,6.0,5.0,4.0,2.0,1.0,1.0
8652,2.0,5.0,7.0,7.0,4.0,1.0,0.0,1.0
5946,1.0,5.0,6.0,3.0,9.0,13.0,0.0,1.0
7123,3.0,1.0,4.0,1.0,2.0,29.0,0.0,0.0
5387,4.0,0.0,4.0,6.0,5.0,1.0,2.0,0.0
4704,2.0,2.0,4.0,-1.0,0.0,1.0,0.0,3.0
7220,1.0,5.0,6.0,1.0,4.0,14.0,1.0,0.0
7154,0.0,0.0,0.0,-2.0,42.0,11.0,0.0,0.0
6159,1.0,3.0,4.0,2.0,2.0,15.0,0.0,0.0
7374,1.0,1.0,2.0,1.0,28.0,18.0,0.0,0.0
5279,3.0,4.0,7.0,-1.0,2.0,5.0,0.0,1.0
7533,0.0,4.0,4.0,6.0,2.0,5.0,0.0,0.0
5381,1.0,1.0,2.0,6.0,7.0,15.0,1.0,0.0
3981,1.0,4.0,5.0,6.0,2.0,2.0,0.0,1.0
5783,0.0,3.0,3.0,2.0,2.0,3.0,0.0,1.0
6100,1.0,2.0,3.0,2.0,2.0,6.0,0.0,0.0
4967,3.0,0.0,3.0,-2.0,6.0,0.0,1.0,1.0
8017,1.0,2.0,3.0,1.0,0.0,7.0,1.0,0.0
6395,3.0,1.0,4.0,6.0,4.0,2.0,0.0,0.0
7524,1.0,2.0,3.0,-2.0,8.0,8.0,0.0,0.0
6936,0.0,1.0,1.0,5.0,6.0,16.0,0.0,0.0
7562,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0
6080,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0
7632,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0
7224,1.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0
6343,0.0,1.0,1.0,-1.0,17.0,8.0,0.0,0.0
7493,0.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0
4692,1.0,2.0,3.0,3.0,0.0,21.0,0.0,0.0
8262,3.0,1.0,4.0,-1.0,2.0,4.0,2.0,2.0
5765,1.0,2.0,3.0,-2.0,0.0,15.0,0.0,0.0
7565,2.0,2.0,4.0,0.0,4.0,13.0,0.0,1.0
6424,0.0,5.0,5.0,5.0,0.0,6.0,0.0,2.0
7264,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0
5739,1.0,2.0,3.0,0.0,2.0,21.0,0.0,0.0
5411,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0
6480,1.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0
7950,1.0,2.0,3.0,2.0,0.0,6.0,0.0,1.0
8290,2.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0
7152,1.0,0.0,1.0,1.0,7.0,14.0,1.0,0.0
4921,3.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0
7121,0.0,3.0,3.0,-1.0,2.0,4.0,0.0,1.0
